id,name,normalized_name,notes
sony,Sony,sony,Japanese electronics and imaging manufacturer
panasonic,Panasonic,panasonic,Japanese electronics and imaging manufacturer
nikon,Nikon,nikon,Japanese imaging manufacturer
sigma,Sigma,sigma,Japanese camera and lens manufacturer
viltrox,Viltrox,viltrox,Camera lens and accessory manufacturer
tamron,Tamron,tamron,Japanese lens manufacturer
dzofilm,DZOFilm,dzofilm,Cinema lens manufacturer
sirui,Sirui,sirui,Camera support and lens manufacturer
contax-carl-zeiss,Contax Carl Zeiss,contax carl zeiss,Contax-branded lenses using Carl Zeiss optical designs
canon,Canon,canon,Japanese imaging manufacturer
minolta,Minolta,minolta,Japanese camera and lens manufacturer
helios,Helios,helios,Soviet-era lens brand
dji,DJI,dji,Camera stabilization and audio equipment manufacturer
